30.760013441031333,L: LSL 111
50.78010259271832,L: LSL 100
70.79983194445958,L: LSL 111
90.8196666961885,L: LSL 100
110.84006724786013,L: LSL 111
130.85959229961736,L: LSL 100
164.9600741469767,L: LSL 111
184.97998689865926,L: LSL 100
204.9995724504115,L: LSL 111
225.02012000209652,L: LSL 100
244.9296272546053,L: LSL 111
264.94984460627893,L: LSL 100
326.3301423516241,L: LSL 111
346.23991020413814,L: LSL 100
366.26007725589443,L: LSL 111
386.2792953075841,L: LSL 100
406.2998261592584,L: LSL 111
426.3201528110076,L: LSL 100
456.5697886868729,L: LSL 111
476.5892884385539,L: LSL 100
496.61001089029014,L: LSL 111
516.6293292419869,L: LSL 100
536.5395883945166,L: LSL 111
556.5596581461723,L: LSL 100
